16a Sea Zone  (1330,610)  (1366,604)  | overflowToLeft=false
Balkans  (1149,595)  (1184,631)  (1120,558)  | overflowToLeft=false
Syria  (1471,741)  | overflowToLeft=false
Solomon Islands  (3212,1308)  | overflowToLeft=false
Hubei  (2207,714)  (2243,684)  (2243,720)  | overflowToLeft=false
Marshall Islands  (3268,1032)  | overflowToLeft=false
Panama  (86,773)  (50,777)  (94,809)  (108,737)  (130,816)  (14,777)  | overflowToLeft=false
9 Sea Zone  (516,356)  (480,391)  (480,355)  (551,392)  (552,337)  (515,427)  (479,427)  (444,391)  (444,355)  (587,373)  (587,409)  (551,428)  (443,428)  (588,337)  (590,445)  (515,463)  (479,463)  (408,392)  (554,464)  (443,464)  (407,464)  (407,428)  | overflowToLeft=false
Malaya  (2174,1078)  (2184,1117)  (2191,1187)  (2235,1161)  | overflowToLeft=false
38b Sea Zone  (2350,1417)  (2350,1453)  (2386,1427)  (2395,1372)  (2422,1440)  (2431,1348)  (2458,1384)  (2458,1448)  (2467,1348)  (2494,1384)  (2503,1348)  (2530,1384)  (2539,1348)  (2558,1420)  (2566,1384)  (2575,1348)  | overflowToLeft=false
Volga  (1774,255)  (1738,290)  (1784,291)  (1757,219)  (1748,326)  (1712,326)  (1735,183)  (1699,154)  (1684,118)  | overflowToLeft=false
61b Sea Zone  (2568,860)  (2568,963)  (2604,964)  (2632,860)  (2632,920)  (2640,956)  (2668,860)  (2668,896)  (2676,932)  (2676,968)  | overflowToLeft=false
28 Sea Zone  (1351,1709)  (1315,1744)  (1315,1708)  (1386,1745)  (1351,1673)  (1387,1673)  (1387,1709)  (1313,1672)  (1350,1780)  (1314,1780)  (1279,1744)  (1279,1708)  (1422,1745)  (1422,1781)  (1386,1781)  (1278,1781)  (1349,1637)  (1385,1637)  (1421,1637)  (1423,1673)  (1423,1709)  (1243,1745)  (1243,1709)  (1242,1793)  (1207,1757)  (1207,1721)  (1206,1793)  | overflowToLeft=false
14c Sea Zone  (1121,639)  | overflowToLeft=false
Hokkaido  (2679,506)  | overflowToLeft=false
46 Sea Zone  (3133,1152)  (3133,1188)  (3133,1224)  (3133,1260)  (3133,1296)  (3133,1332)  (3133,1368)  (3133,1404)  (3169,1152)  (3169,1188)  (3169,1224)  (3169,1342)  (3169,1378)  (3169,1414)  (3183,1260)  (3205,1152)  (3205,1188)  (3205,1224)  (3205,1381)  (3205,1417)  (3219,1260)  (3232,1296)  (3241,1152)  (3241,1188)  (3241,1224)  (3241,1387)  (3241,1423)  (3255,1260)  (3268,1296)  (3277,1152)  (3277,1188)  (3277,1224)  (3291,1260)  (3299,1403)  (3304,1296)  (3307,1332)  (3313,1152)  (3313,1188)  (3313,1224)  | overflowToLeft=false
